'fulfill via','dosage form','unit of measure (per pack)','first line designation','sub classification'
'From RDC','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',1.001001,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',1.001001,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',2.002002,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',2.002002,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',1.001001,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'From RDC','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',0,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,False,'HIV test - Ancillary'
'Direct Drop','Test kit - Ancillary',99.099099,True,'HIV test - Ancillary'
'Direct Drop','Test kit',99.099099,False,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',39.039039,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'From RDC','Test kit',17.017017,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,False,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',49.049049,True,'HIV test'
'Direct Drop','Test kit',99.099099,False,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',0,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,False,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',29.029029,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,False,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'From RDC','Test kit',19.019019,False,'HIV test'
'From RDC','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'From RDC','Test kit',39.039039,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'From RDC','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,False,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'From RDC','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',29.029029,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'From RDC','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'From RDC','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,False,'HIV test'
'From RDC','Test kit',39.039039,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',39.039039,True,'HIV test'
'Direct Drop','Test kit',99.099099,False,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'From RDC','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',99.099099,False,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',0,True,'HIV test'
'Direct Drop','Test kit',19.019019,False,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'From RDC','Test kit',99.099099,True,'HIV test'
'From RDC','Test kit',99.099099,False,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,False,'HIV test'
'From RDC','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'From RDC','Test kit',19.019019,False,'HIV test'
'From RDC','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,False,'HIV test'
'Direct Drop','Test kit',29.029029,True,'HIV test'
'Direct Drop','Test kit',0,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',0,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'From RDC','Test kit',24.024024,True,'HIV test'
'From RDC','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',0,True,'HIV test'
'From RDC','Test kit',39.039039,True,'HIV test'
'From RDC','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',0,True,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',24.024024,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,True,'HIV test'
'From RDC','Test kit',19.019019,True,'HIV test'
'Direct Drop','Test kit',19.019019,False,'HIV test'
'Direct Drop','Test kit',99.099099,True,'HIV test'
'Direct Drop','Test kit',29.029029,True,'HIV test'
