@relation CorrelationTest

@attribute 'fulfill via' {'From RDC','Direct Drop'}
@attribute 'vendor inco term' {'N/A - From RDC',EXW,CIP,FCA,DDP,DAP,DDU}
@attribute 'shipment mode' {Truck,Air,Ocean,'Air Charter'}
@attribute 'po sent to vendor date' {'N/A - From RDC',11/13/09,2/20/15,2/28/08,9/14/11,8/26/08,10/27/10,5/2/11,10/2/08,6/30/14,2/28/14,5/9/13,3/2/11,8/21/08,9/30/09,9/16/10,10/10/12,3/17/08,8/3/11,12/6/12,8/5/13,2/26/13,2/27/13,12/10/07,11/18/14,9/12/12,2/12/14,6/20/12,4/28/08,2/15/12,8/21/12,8/22/12,4/7/08,7/16/12,5/20/14,6/12/08,7/18/08,8/7/13,3/13/15,3/11/08,2/26/14,12/29/11,7/10/13,5/5/11,5/18/11,1/11/13,10/5/09,10/4/12,7/26/12,3/20/14,8/10/12,8/12/13,5/14/09,6/2/14,8/18/09,7/7/09,3/31/09,6/21/07,2/2/11,10/16/12,4/9/09,5/18/09,12/2/09,6/25/15,8/10/10,7/9/14,9/11/13,4/20/09,8/14/14,1/17/12,5/22/13,10/29/14,3/16/15,8/28/14,2/3/14,12/4/13,11/21/12,8/28/07,2/5/10,4/2/09,8/1/11,1/27/12,3/3/08,10/22/08,8/6/13,1/27/09,3/24/10,1/17/13,5/23/08,3/17/15,9/3/09,11/5/14,7/9/09,10/23/09,1/7/08,6/4/09,7/31/12,1/23/12,1/14/09,10/7/10,8/18/11,10/5/11,5/21/13,8/30/11,4/20/11,10/22/09,7/31/08,6/13/12,11/16/11,2/25/11,3/13/08,10/27/08,9/4/13,6/20/08,6/18/14,4/24/12,6/21/10,8/13/12,11/21/13,5/27/09,5/23/11,1/12/10,5/13/08,1/15/13,12/4/14,7/20/11,9/21/11,11/19/07,11/16/07,6/5/12,5/12/15,6/14/12,4/30/09,1/3/08,10/18/07,5/29/13,4/4/09,4/29/14,2/27/14,4/3/14,8/12/11,7/18/11,4/11/13,6/2/09,3/11/09,4/19/06,4/9/12,11/19/14,8/2/12,9/15/11,8/27/14,8/4/11,12/26/12,3/28/12,2/26/08,8/23/10,5/26/15,1/28/14,9/4/14,2/12/13,3/25/09,7/6/07,8/13/14,2/6/12,6/23/14,4/21/11,4/20/15,8/31/09,11/6/12,11/14/08,10/15/13,8/27/08,6/7/10,8/29/08,2/29/08,7/21/10,12/22/09,2/18/09,12/18/14,7/30/10,9/2/10,5/8/13,8/29/11,10/16/14,7/30/14,3/19/12,9/22/11,1/23/13,6/13/11,5/20/08,11/1/13,1/29/08,9/17/08,10/24/08,11/30/07,2/17/12,12/2/08,9/25/14,7/1/14,4/1/13,5/19/14,12/8/14,6/6/09,7/17/15,12/11/08,12/16/14,5/6/14,8/22/08,4/5/12,1/8/10,11/13/13,12/14/06,3/19/14,6/1/10,7/26/07,2/1/12,1/2/13,9/18/08,11/22/10,1/25/07,3/1/07,4/15/09,9/24/10,8/11/09,7/2/12,9/7/11,5/22/15,3/5/14,10/29/09,7/9/12,12/9/10,2/17/10,3/30/11,10/14/08,5/31/11,7/28/08,8/24/11,5/27/10,9/19/14,2/25/08,10/22/14,1/26/09,10/22/12,1/26/15,8/27/10,1/30/14,5/7/12,4/18/11,2/19/14,1/12/12,1/9/12,10/23/07,4/27/09,2/14/13,9/29/09,12/28/06,3/31/11,5/3/12,5/13/07,3/27/12,9/19/11,11/12/13,1/5/08,1/22/14,10/6/10,9/24/08,1/5/09,12/29/06,12/12/12,8/15/11,7/2/09,8/7/09,1/21/10,8/28/11,2/24/09,11/24/10,3/23/11,6/8/10,9/11/09,6/4/13,3/21/12,2/6/08,2/3/12,2/25/13,12/7/10,10/7/09,5/15/12,6/30/08,9/3/08,10/9/14,6/17/10,8/19/13,8/29/14,11/9/09,12/1/10,6/13/13,8/12/09,1/7/15,6/2/15,2/10/10,3/19/10,2/17/15,12/13/11,6/28/13,2/11/13,3/28/11,12/23/09,3/4/15,12/2/13,3/25/10,11/18/11,8/13/13,4/30/14,8/24/15,9/10/13,5/18/12,11/19/09,12/10/14,7/3/13,6/28/12,5/12/11,5/8/14,9/22/09,6/12/12,11/28/14,2/8/11,7/1/08,3/24/11,4/23/14,10/4/11,11/11/09,1/13/12,10/10/13,5/21/14,11/14/14,8/11/14,3/9/15,10/18/10,12/24/14,12/14/10,7/21/09,7/15/09,7/4/07,11/21/07,10/3/11,4/4/12,1/22/13,3/29/10,11/2/09,4/3/12,10/3/07,5/10/13,2/9/10,5/5/14,4/14/11,1/16/09,8/23/13,5/13/15,5/26/14,10/3/14,10/15/09,10/11/11,8/14/12,6/24/10,10/28/13,1/15/10,3/4/09,9/14/09,4/28/15,5/23/14,3/14/14,9/24/12,4/10/08,7/17/09,11/11/11,3/31/14,6/26/09,11/5/09,3/27/09,2/12/15,2/5/13,9/30/11,3/31/08,3/18/10,3/21/14,7/31/13,3/10/14,3/31/10,10/15/10,6/25/14,11/29/06,5/13/09,6/16/10,11/14/06,4/29/09,6/11/13,4/4/08,11/7/12,4/17/12,1/30/15,9/28/10,1/16/14,8/25/10,8/9/12,3/22/13,3/5/10,5/7/15,2/20/08,10/21/08,5/27/14,1/4/08,12/17/13,12/15/14,12/6/07,1/25/10,5/15/13,11/3/08,7/24/08,1/21/08,7/8/14,1/20/10,5/15/08,8/27/13,5/30/14,9/27/10,1/25/12,4/25/13,4/21/10,8/19/14,10/25/13,12/6/10,3/25/11,8/6/14,4/29/11,11/12/07,9/21/10,2/23/15,7/31/14,7/12/12,7/28/15,2/5/09,4/1/11,8/5/14,11/23/09,9/9/13,9/29/10,9/17/10,10/8/12,7/3/12,5/27/11,5/7/07,10/16/13,10/10/11,6/24/13,1/24/12,12/2/06,3/26/13,10/12/12,12/5/07,7/13/09,1/9/07,11/15/06,2/10/14,11/26/09,8/11/10,11/4/14,7/16/09,5/28/14,3/26/10,4/11/14,10/14/10,6/8/12,10/7/13,9/23/08,7/8/11,5/1/13,7/25/13,11/28/13,6/5/09,7/3/08,2/15/11,8/15/12,3/19/15,7/16/13,10/30/14,2/9/11,3/8/12,2/6/13,11/17/06,5/11/15,11/4/13,7/1/10,11/2/11,3/7/14,4/4/11,10/31/12,3/6/09,12/19/14,9/26/12,9/2/13,4/16/12,2/1/11,11/17/09,6/23/09,1/7/10,5/16/14,8/3/09,11/9/11,4/29/10,11/4/10,3/2/15,10/22/13,10/24/13,7/1/13,8/25/14,10/30/13,11/25/14,12/31/14,1/16/12,2/4/14,4/15/14,5/14/08,2/14/14,11/1/11,11/22/07,2/6/15,11/2/10,10/25/12,3/3/14,6/22/11,6/29/09,12/30/08,7/11/12,2/13/13,4/17/15,1/11/10,6/11/12,1/29/10,11/18/10,12/8/09,7/30/13,9/19/13,3/7/10,4/23/10,3/13/09,12/27/13,4/15/10,3/12/10,3/11/13,9/12/14,7/7/11,4/24/09,8/2/13,1/21/11,6/3/14,5/17/13,5/27/15,4/14/14,3/19/09,2/24/12,6/13/08,9/10/10,3/30/09,5/26/11,8/4/14,2/9/15,7/25/08,11/19/08,5/1/12,7/15/08,6/10/08,12/30/11,6/26/14,7/18/12,2/15/08,3/28/13,5/23/13,3/6/13,11/15/14,1/24/08,7/3/07,8/19/09,6/1/12,5/29/15,11/24/09,1/18/12,5/1/14,7/30/12,5/15/14,11/10/10,6/12/13,9/17/13,1/7/11,2/24/15,5/8/09,1/25/11,7/17/12,7/17/07,11/19/10,5/5/10,10/8/13,11/17/14,11/9/12,2/12/10,8/9/13,6/19/14,11/6/09,8/2/10,7/18/14,3/17/13,3/18/09,6/20/14,8/20/14,2/4/13,8/26/14,1/3/13,3/9/12,7/10/15,12/14/09,5/7/14,2/7/13,12/5/06,8/4/15,3/14/12,11/12/14,3/8/13,7/23/08,7/11/14,2/8/13,3/14/13,5/19/11,11/4/08,7/14/15,10/31/13}
@attribute brand {Generic,Uni-Gold,Determine,Stat-Pak,Bioline,OraQuick,Capillus,Genie,LAV,Multispot,'Colloidal Gold',Clearview,Reveal,'First Response',Hexagon,DoubleCheck,InstantCHEK,Coartem,Aluvia,Truvada,Crixivan,Norvir,Isentress,Zerit,Invirase,Viramune,'Videx EC',Prezista,Intelence,Viread,Retrovir,Trizivir,Combivir,Epivir,Ziagen,Kaletra,Atripla,Viracept,Stocrin/Sustiva,Paramax,Videx,Reyataz}
@attribute dosage {300mg,20/120mg,50+153mg,150mg,200mg,150/300/200mg,200/50mg,300/300mg,600/300mg,300/200mg,150/300mg,250mg,600mg,30mg,400mg,100mg,15mg,600/300/300mg,200/300mg,150/200/30mg,40mg,150/30mg,600/200/300mg,20mg,150/300mg+600mg,300/150/300mg,300/100mg,500mg,150/200/40mg,133.3/33.3mg,150/300+200mg,500/25mg,10mg/ml,50mg,80/20mg/ml,100/25mg,60/12mg,20mg/ml,30mg/ml,30/50/60mg,30/60mg,60/30mg,30/50/6mg,25mg,30/6mg,80mg/ml,1mg/ml,60mg,50mg/g,125mg,60/100/12mg}
@attribute 'dosage form' {'Test kit - Ancillary','Test kit','Tablet - FDC + blister','Tablet - FDC + co-blister',Tablet,'Tablet - FDC','Delayed-release capsules',Capsule,'Delayed-release capsules - blister','Tablet - blister','Oral solution','Chewable/dispersible tablet','Chewable/dispersible tablet - FDC','Oral suspension','Powder for oral solution',Injection,'Oral powder'}
@attribute 'unit of measure (per pack)' numeric
@attribute 'line item quantity' numeric
@attribute 'line item value' numeric
@attribute 'pack price' numeric
@attribute 'unit price' numeric
@attribute 'manufacturing site' {'Inverness Japan','Trinity Biotech Plc','Alere Medical Co. Ltd.','Chembio Diagnostics Sys. Inc.','Standard Diagnostics Korea','Orasure Technologies Inc USA','Bio-Rad Laboratories','KHB Test Kit Facility Shanghai China','ABBVIE GmbH & Co.KG Wiesbaden','Pacific Biotech Thailand','Ranbaxy Fine Chemicals LTD','Not Applicable','Premier Med. Corp Ltd. India','Human Diagnostic','Orasure Technologies Inc','INVERNESS ANY','Inverness USA','EY Laboratories USA','Novartis Pharma Suffern USA','Novartis Pharma AG Switzerland','Ipca Dadra/Nagar Haveli IN','Aurobindo Unit III India','Cipla Goa India','Strides Bangalore India.','Mylan (formerly Matrix) Nashik','ABBVIE Ludwigshafen Germany','Ranbaxy per Shasun Pharma','Aspen-OSD Port Elizabeth SA','Hetero Unit III Hyderabad IN','MSD Haarlem NL','ABBVIE (Abbott) Logis. UK','Macleods Daman Plant INDIA','Aurobindo Unit VII IN','Cipla Kurkumbh India','Ranbaxy Paonta Shahib India','BMS Meymac France','Roche Basel','Boehringer Ing. Koropi GR','Micro labs Verna Goa India','Janssen-Cilag Latina IT','ABBVIE (Abbott) France','Hetero Jadcherla unit 5 IN','Ranbaxy per Shasun Pharma Ltd','Bristol-Myers Squibb Anagni IT','Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India','GSK Ware (UK)','Gilead(Nycomed) Oranienburg DE','GSK U1 Poznan Poland','GSK Aranda','GSK Cape Town Factory (South Africa)','Cipla Patalganga India','Janssen Ortho LLC Puerto Rico','BI Ingelheim Germany','Cipla Ltd A-42 MIDC Mahar. IN','MSD Elkton USA','Mylan  H-12 & H-13 India','ABBVIE (Abbott) St. P burg USA',ABBSP,'Roche Madrid','MSD Midrand J burg SA','Guilin OSD site No 17 China','Micro Labs Hosur India','Meditab (for Cipla) Daman IN','Micro Labs Ltd. (Brown & Burk) India','Weifa A.S. Hausmanngt. 6 P.O. Box 9113 GrÃ¸nland 0133 Oslo Norway','ABBVIE Labs North Chicago US','GSK Mississauga (Canada)','MSD Manati Puerto Rico (USA)','GSK Barnard Castle UK','BMS Evansville US','GSK Crawley','Boehringer Ingelheim Roxane US'}
@attribute 'first line designation' {True,False}
@attribute 'weight (kilograms)' numeric
@attribute 'line item insurance (usd)' numeric
@attribute 'sub classification' {'HIV test - Ancillary','HIV test',ACT,Adult,Malaria,Pediatric}

@data
'Direct Drop',CIP,Air,10/21/08,Generic,150/300mg,'Tablet - FDC',59.059059,12.643589,11.986578,6.762581,0.628536,'Cipla Goa India',True,0.838627,18.139857,Adult
'Direct Drop',DDP,Truck,12/2/13,Epivir,150mg,Tablet,59.059059,5.674212,6.425141,8.077941,0.754243,'GSK Cape Town Factory (South Africa)',False,1.519792,6.137429,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,333.633334,389.935216,8.33804,0.796145,'Aurobindo Unit III India',True,34.236733,496.789234,Adult
'Direct Drop',EXW,Air,10/16/14,Determine,300mg,'Test kit',99.099099,0.191936,1.612906,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.064151,1.280415,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,25.246856,25.669235,7.253054,1.382778,'Hetero Unit III Hyderabad IN',True,130.665979,20.375069,Adult
'Direct Drop',EXW,Air,5/6/14,Uni-Gold,300mg,'Test kit',19.019019,0.133871,0.451614,23.780506,6.704379,'Trinity Biotech Plc',True,0.038491,0.358049,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,60/30mg,'Tablet - FDC',59.059059,16.127471,6.871651,3.039446,0.293317,'Mylan (formerly Matrix) Nashik',True,0.425728,5.45506,Pediatric
'Direct Drop',EXW,Air,5/31/11,Uni-Gold,300mg,'Test kit',19.019019,1.172584,3.913985,23.780506,6.704379,'Trinity Biotech Plc',True,0.285763,4.986742,'HIV test'
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200/300mg,'Tablet - FDC',29.029029,0.966132,1.184478,8.731905,1.634192,'Mylan (formerly Matrix) Nashik',False,0.975093,1.79284,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,10.964551,4.283651,2.786778,0.251414,'Strides Bangalore India.',True,0.340583,4.091619,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,59.059059,5.459695,6.388582,8.345471,0.796145,'Mylan (formerly Matrix) Nashik',True,18.59442,5.071065,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,61.255036,24.821665,2.890818,0.251414,'Strides Bangalore India.',True,1.898866,23.70778,Pediatric
'Direct Drop',EXW,Ocean,3/22/13,Generic,10mg/ml,'Oral suspension',239.239239,3.28872,0.517541,1.122143,0.041902,'Aurobindo Unit III India',False,4.086993,0.494263,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150mg,Tablet,59.059059,8.869383,2.254708,1.813264,0.167609,'Mylan (formerly Matrix) Nashik',True,0.975093,3.411845,Adult
'Direct Drop',DDP,Truck,8/24/15,Generic,150mg,Tablet,59.059059,0.156452,0.116106,5.239143,0.502828,'Aurobindo Unit III India',False,1.519792,0.092107,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,11.766167,16.278736,9.86891,0.921852,'Aurobindo Unit III India',True,0.961097,20.111722,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,275.450889,275.452057,7.134152,1.340876,'Mylan (formerly Matrix) Nashik',False,41.854357,218.642164,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,526.017826,602.729635,8.174549,0.754243,'Mylan (formerly Matrix) Nashik',True,54.2623,652.478322,Adult
'Direct Drop',DDP,Truck,5/11/15,Generic,250mg,'Delayed-release capsules',29.029029,0.003226,0.005553,8.189412,1.550388,'Aurobindo Unit III India',False,1.519792,0.003892,Adult
'Direct Drop',EXW,Air,7/16/13,Generic,600/200/300mg,'Tablet - FDC',29.029029,349.604354,445.746888,9.096044,1.717997,'Mylan (formerly Matrix) Nashik',True,33.449427,425.748919,Adult
'Direct Drop',CIP,Air,8/18/09,Generic,150mg,Tablet,59.059059,7.256475,1.958168,1.924735,0.167609,'Hetero Unit III Hyderabad IN',True,0.323087,2.962986,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,71.184101,92.096368,9.229809,1.717997,'Mylan (formerly Matrix) Nashik',True,4.028674,113.777885,Adult
'Direct Drop',DDP,Truck,12/2/13,Epivir,150mg,Tablet,59.059059,3.730657,4.470031,8.546119,0.796145,'GSK Cape Town Factory (South Africa)',False,1.519792,3.548059,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Uni-Gold,300mg,'Test kit',19.019019,0.03871,0.134409,23.780506,6.704379,'Trinity Biotech Plc',True,0.022161,0.203673,'HIV test'
'Direct Drop',EXW,Air,10/4/12,Determine,300mg,'Test kit',99.099099,1.35323,11.290341,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.472384,12.221669,'HIV test'
'Direct Drop',DDP,Air,3/19/10,Generic,300mg,Tablet,29.029029,104.414853,85.055776,5.811361,1.089462,'Cipla Goa India',True,5.198553,141.595446,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,6.99841,1.407294,1.434262,0.041902,'Aurobindo Unit III India',False,8.154158,2.342886,Pediatric
'Direct Drop',EXW,Air,8/6/13,Determine,300mg,'Test kit',99.099099,6.450021,53.763528,59.451265,3.352189,'Alere Medical Co. Ltd.',True,1.893034,51.351506,'HIV test'
'Direct Drop',EXW,Air,6/21/10,Determine,300mg,'Test kit',99.099099,0.540324,5.080653,66.882673,3.771213,'Inverness Japan',True,0.179622,8.458261,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,35.558179,11.260583,2.259148,0.209512,'Ranbaxy Paonta Shahib India',True,1.232863,13.912024,Adult
'Direct Drop',EXW,Air,9/22/11,Determine,300mg,'Test kit',99.099099,4.220981,35.188229,59.451265,3.352189,'Alere Medical Co. Ltd.',True,1.453309,44.83138,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,59.059059,5.966148,6.981026,8.345471,0.796145,'Mylan (formerly Matrix) Nashik',False,11.093434,5.54068,Adult
'Direct Drop',DDP,Truck,8/13/14,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.001613,0.00788,17.426652,0.335219,'ABBVIE (Abbott) Logis. UK',True,1.519792,0.007784,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,18.032316,5.466526,2.16254,0.209512,'Aurobindo Unit III India',True,0.660171,6.753636,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,30mg,Capsule,59.059059,17.969413,2.901567,1.151868,0.125707,'Aurobindo Unit III India',True,0.861954,4.391291,Adult
'Direct Drop',EXW,Air,10/7/10,Determine,300mg,'Test kit',99.099099,4.537111,37.822642,59.451265,3.352189,'Inverness Japan',True,1.589775,62.96475,'HIV test'
'Direct Drop',DDP,Air,6/16/10,Generic,300mg,Tablet,59.059059,16.127471,29.032305,12.841473,1.215169,'Cipla Patalganga India',True,1.267854,48.331439,Adult
'Direct Drop',FCA,Air,4/4/11,Norvir,100mg,Tablet,59.059059,0.72097,0.515592,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',True,0.079314,0.656423,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,101.850329,90.711739,6.353854,0.586633,'Aurobindo Unit III India',False,23.641343,151.0111,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,4.933887,4.190027,6.056598,0.586633,'Aurobindo Unit III India',False,3.446651,5.176145,Adult
'Direct Drop',EXW,Ocean,6/26/14,Generic,10mg/ml,'Oral solution',239.239239,2.659686,0.396422,1.062691,0.041902,'Aurobindo Unit III India',False,1.519792,0.315239,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,30/50/6mg,'Chewable/dispersible tablet - FDC',59.059059,45.514663,10.904924,1.709224,0.167609,'Cipla Goa India',False,6.360267,11.805242,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,1.693554,6.321549,26.604441,2.514142,'Aurobindo Unit III India',True,0.435059,7.809622,Adult
'Direct Drop',DDP,Ocean,3/28/11,Generic,300mg,Tablet,29.029029,82.872848,55.853843,4.808121,0.921852,'Cipla Goa India',True,1.519792,71.159664,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,11.288746,19.111254,12.076038,2.262728,'Aurobindo Unit III India',True,0.677666,31.149964,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,69.038932,52.283745,5.402634,0.502828,'Cipla Goa India',False,12.959641,56.599001,Adult
'Direct Drop',DDP,Truck,6/2/15,Generic,150/300mg,'Tablet - FDC',59.059059,0.020968,0.050417,15.925508,1.508485,'Aurobindo Unit III India',False,1.519792,0.040216,Adult
'Direct Drop',DDP,Air,6/17/10,Generic,10mg/ml,'Oral suspension',239.239239,30.801712,10.107325,2.340894,0.041902,'Aurobindo Unit III India',True,8.592717,16.825713,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,4.159691,17.815553,30.543087,1.42468,'ABBVIE Ludwigshafen Germany',True,0.684665,22.009641,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,99.30032,85.440901,6.138343,0.586633,'Aurobindo Unit III India',False,7.723764,108.85471,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,32.514621,37.76619,8.28602,1.550388,'Mylan (formerly Matrix) Nashik',True,2.655846,36.072149,Adult
'Direct Drop',EXW,Air,11/21/12,Determine,300mg,'Test kit',99.099099,2.372588,19.784978,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.74415,18.897468,'HIV test'
'Direct Drop',EXW,Air,6/7/10,Bioline,300mg,'Test kit',29.029029,2.346782,5.870977,17.835379,3.352189,'Standard Diagnostics Korea',True,0.56686,9.773703,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,50mg,Capsule,29.029029,6.853248,1.599465,1.664635,0.293317,'Aurobindo Unit III India',False,1.94902,2.663314,Pediatric
'Direct Drop',EXW,Ocean,3/31/14,Generic,600/200/300mg,'Tablet - FDC',29.029029,56.450182,69.03573,8.724473,1.634192,'Mylan (formerly Matrix) Nashik',False,12.251649,54.798377,Adult
'Direct Drop',EXW,Air,7/18/11,Bioline,300mg,'Test kit',24.024024,12.901655,26.881764,14.862816,3.352189,'Standard Diagnostics Korea',True,3.110734,34.248175,'HIV test'
'Direct Drop',EXW,Air,10/14/08,Uni-Gold,300mg,'Test kit',19.019019,7.927445,26.43015,23.780506,6.704379,'Trinity Biotech Plc',True,1.925692,39.999014,'HIV test'
'Direct Drop',EXW,Air,4/24/12,Determine,300mg,'Test kit',99.099099,9.675838,80.645291,59.451265,3.352189,'Alere Medical Co. Ltd.',True,3.338178,87.301711,'HIV test'
'Direct Drop',EXW,Air,3/13/08,Stat-Pak,300mg,'Test kit',19.019019,2.296782,6.464224,20.064802,5.65682,'Chembio Diagnostics Sys. Inc.',True,0.563361,7.986052,'HIV test'
'Direct Drop',DDP,Air,3/19/10,Generic,600mg,Tablet,29.029029,54.908242,26.711313,3.470468,0.670438,'Aurobindo Unit III India',True,3.373169,44.466844,Adult
