'fulfill via','vendor inco term','shipment mode','po sent to vendor date',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','first line designation','weight (kilograms)','line item insurance (usd)','sub classification'
'Direct Drop',EXW,Air,3/30/11,Determine,300mg,'Test kit',99.099099,4.169368,38.668409,66.139532,3.729311,'Inverness Japan',True,1.435813,49.264183,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,20mg/ml,'Oral solution',239.239239,10.991971,9.745338,6.324128,0.167609,'Aurobindo Unit III India',False,10.968631,9.307979,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/30mg,'Tablet - FDC',59.059059,0.32742,0.11242,2.437502,0.209512,'Cipla Goa India',False,0.167959,0.186808,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,313.330043,219.658192,5.001338,0.460926,'Hetero Unit III Hyderabad IN',True,23.299594,174.355641,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral solution',239.239239,3.522592,1.450061,2.935406,0.083805,'Aurobindo Unit III India',False,10.504412,1.791543,Pediatric
'Direct Drop',EXW,Air,'N/A - From RDC',OraQuick,300mg,'Test kit',99.099099,0.03871,1.470096,260.099284,14.665829,'Pacific Biotech Thailand',True,0.069983,1.816191,'HIV test'
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,74.27282,30.096571,2.890818,0.251414,'Mylan (formerly Matrix) Nashik',True,3.320682,28.746413,Pediatric
'Direct Drop',FCA,Air,5/15/14,Generic,100/25mg,Tablet,59.059059,14.922629,9.23436,4.414256,0.419024,'ABBVIE Ludwigshafen Germany',True,1.242194,7.329628,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600mg,Tablet,29.029029,12.321007,4.672319,2.705033,0.502828,'Aurobindo Unit III India',False,5.142567,5.058092,Adult
'Direct Drop',EXW,Air,10/10/13,Generic,600mg,Tablet,29.029029,4.056465,1.369599,2.407776,0.460926,'Hetero Unit III Hyderabad IN',False,2.277939,1.307658,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,65.030855,82.035616,8.999435,1.676095,'Mylan (formerly Matrix) Nashik',True,5.290697,78.355672,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,22.685557,26.822809,8.434648,0.796145,'Aurobindo Unit III India',True,1.858042,40.593168,Adult
'Direct Drop',EXW,Air,'N/A - From RDC',Generic,200mg,Tablet,59.059059,53.761464,20.217124,2.682738,0.251414,'Aurobindo Unit III India',False,13.038955,31.149964,Adult
'Direct Drop',FCA,Air,4/14/11,'Videx EC',400mg,'Delayed-release capsules - blister',29.029029,29.532353,72.819568,17.590143,3.310287,'Bristol-Myers Squibb Anagni IT',False,1.483635,92.774932,Adult
'Direct Drop',DDP,Truck,8/27/14,Generic,300mg,Tablet,59.059059,0.079033,0.648076,57.333314,5.405405,'Aurobindo Unit III India',False,1.519792,0.618802,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/200/30mg,'Tablet - FDC',59.059059,80.643809,48.135158,4.258197,0.419024,'Cipla Goa India',False,21.117298,80.131648,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200/300mg,'Tablet - FDC',29.029029,12.880687,14.653592,8.115098,1.508485,'Mylan (formerly Matrix) Nashik',False,1.673754,18.669147,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,4.159691,17.815553,30.543087,1.42468,'ABBVIE (Abbott) Logis. UK',False,3.206377,22.009641,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200/50mg,Tablet,119.119119,25.988794,79.351832,21.781457,1.005657,'Mylan (formerly Matrix) Nashik',True,4.964111,85.901946,Adult
'Direct Drop',EXW,Air,1/9/12,DoubleCheck,300mg,'Test kit',19.019019,0.314517,1.202609,27.139502,7.668133,'Alere Medical Co. Ltd.',True,0.05482,1.302468,'HIV test'
'Direct Drop',EXW,Air,1/7/11,Retrovir,10mg/ml,Injection,4.004004,0.119355,0.884578,52.168485,58.830924,'GSK Barnard Castle UK',True,0.033825,1.127336,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Stocrin/Sustiva,30mg/ml,'Oral solution',179.179179,2.422588,4.282749,12.603668,0.377121,'MSD Haarlem NL',True,0.709159,5.291602,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,16.727473,20.144576,8.590708,0.796145,'Mylan (formerly Matrix) Nashik',True,1.53029,30.486065,Adult
'Direct Drop',DDP,Truck,3/27/09,Generic,10mg/ml,'Oral solution',239.239239,1.611296,0.949262,4.198746,0.083805,'Aurobindo Unit III India',True,1.519792,1.436088,Pediatric
'Direct Drop',DDP,Air,11/12/07,Zerit,20mg,Capsule,59.059059,0.046774,0.030192,4.451413,0.419024,'BMS Meymac France',False,1.519792,0.037621,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Capsule,89.089089,0.167742,0.282259,11.890253,0.754243,'Aurobindo Unit III India',True,0.016329,0.348968,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150mg,Tablet,59.059059,7.579057,1.839889,1.731518,0.167609,'Aurobindo Unit III India',True,0.307924,2.344184,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200/50mg,Tablet,119.119119,0.140323,0.310484,15.605957,0.754243,'Mylan (formerly Matrix) Nashik',True,0.110806,0.297077,Adult
'Direct Drop',DDP,Truck,10/3/14,Generic,300mg,Tablet,59.059059,0.006452,0.020963,18.541363,1.759899,'Aurobindo Unit III India',False,1.519792,0.016865,Adult
'Direct Drop',EXW,Air,7/31/13,Generic,150/300/200mg,'Tablet - FDC',59.059059,185.476405,156.496825,6.019441,0.544731,'Cipla Goa India',True,18.003065,149.476418,Adult
'Direct Drop',DDP,Truck,7/21/09,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.869358,3.95424,32.386077,0.628536,'ABBVIE (Abbott) Logis. UK',True,1.519792,5.98435,Pediatric
'Direct Drop',DDP,Truck,8/29/14,Generic,300mg,Tablet,59.059059,0.009677,0.031885,20.146547,1.885607,'Mylan (formerly Matrix) Nashik',False,1.519792,0.029837,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,'Chewable/dispersible tablet',59.059059,0.035484,0.059896,11.518683,1.089462,'Aurobindo Unit III India',True,0.442058,0.09081,Pediatric
'Direct Drop',FCA,Air,2/8/11,Invirase,200mg,Capsule,269.269269,0.741938,8.018049,76.929937,1.59229,'Roche Basel',True,0.277598,10.214778,Adult
'Direct Drop',FCA,Air,4/14/14,Generic,100/25mg,Tablet,59.059059,1.504844,0.932118,4.414256,0.419024,'ABBVIE Ludwigshafen Germany',True,0.128302,0.739449,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,4.798403,0.975002,1.449125,0.041902,'Aurobindo Unit III India',True,1.292348,0.931447,Pediatric
'Direct Drop',EXW,Air,4/30/14,Generic,150/300/200mg,'Tablet - FDC',59.059059,16.127471,13.608893,6.019441,0.544731,'Mylan (formerly Matrix) Nashik',False,2.606858,10.802445,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Determine,300mg,'Test kit',99.099099,3.224204,26.878404,59.443833,3.352189,'Inverness Japan',True,0.571526,33.206459,'HIV test'
'Direct Drop',DDP,Truck,'N/A - From RDC',Generic,100/25mg,Tablet,59.059059,0.070968,0.047245,4.64463,0.419024,'ABBVIE Ludwigshafen Germany',False,1.519792,0.045405,Pediatric
'Direct Drop',EXW,Air,2/15/12,Determine,300mg,'Test kit - Ancillary',99.099099,0.545163,0.455646,5.945126,0.335219,'Alere Medical Co. Ltd.',True,0.204116,0.492966,'HIV test - Ancillary'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,13.062945,3.170872,1.731518,0.167609,'Hetero Unit III Hyderabad IN',True,3.607611,5.27863,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600mg,Tablet,29.029029,116.611666,40.450166,2.474659,0.460926,'Strides Bangalore India.',True,5.122738,43.788367,Adult
'Direct Drop',DDP,Truck,2/12/15,Generic,300mg,Tablet,29.029029,0.21613,0.313341,10.262775,1.927509,'Mylan (formerly Matrix) Nashik',False,1.519792,0.249078,Adult
'Direct Drop',EXW,Air,6/20/12,Determine,300mg,'Test kit',99.099099,1.119358,10.392322,66.139532,3.729311,'Alere Medical Co. Ltd.',True,0.409399,11.250006,'HIV test'
'Direct Drop',EXW,Air,9/21/11,OraQuick,300mg,'Test kit',99.099099,0.030645,1.176077,260.099284,14.665829,'Pacific Biotech Thailand',True,0.055986,1.498358,'HIV test'
