'fulfill via','vendor inco term','shipment mode','po sent to vendor date',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','first line designation','weight (kilograms)','line item insurance (usd)','sub classification'
'Direct Drop',EXW,Air,7/12/12,Generic,150mg,Tablet,59.059059,60.266323,13.18359,1.560596,0.167609,'Hetero Unit III Hyderabad IN',True,2.521712,14.27137,Adult
'Direct Drop',DDP,Air,3/19/10,Generic,10mg/ml,'Oral suspension',239.239239,16.127471,5.292347,2.340894,0.041902,'Aurobindo Unit III India',True,4.512722,8.809824,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Uni-Gold,300mg,'Test kit',19.019019,1.611296,5.376353,23.780506,6.704379,'Trinity Biotech Plc',False,1.97468,6.64207,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,30mg,Capsule,59.059059,3.224204,0.473791,1.047829,0.083805,'Strides Bangalore India.',True,0.114305,0.788746,Adult
'Direct Drop',EXW,Air,5/18/09,Clearview,300mg,'Test kit',24.024024,0.106452,0.844255,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.',True,0.055986,1.27782,'HIV test'
'Direct Drop',EXW,Ocean,3/22/13,Generic,10mg/ml,'Oral solution',239.239239,3.114526,0.464174,1.062691,0.041902,'Aurobindo Unit III India',False,4.086993,0.44367,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,1.46936,0.707904,3.433311,0.628536,'Cipla Kurkumbh India',True,2.034166,0.643451,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600mg,Tablet,29.029029,193.547399,161.290583,5.945126,1.131364,'Aurobindo Unit III India',True,23.495546,244.096082,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200/50mg,Tablet,119.119119,5.803245,12.383676,15.219524,0.71234,'Mylan (formerly Matrix) Nashik',False,8.327949,9.829486,Adult
'Direct Drop',DDP,Truck,7/14/15,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.004839,0.011519,12.737433,0.251414,'ABBVIE (Abbott) Logis. UK',True,1.519792,0.009081,Pediatric
'Direct Drop',CIP,Air,11/17/06,Aluvia,200/50mg,Tablet,119.119119,0.12742,0.55242,30.543087,1.42468,ABBSP,True,0.029159,31.149964,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,193.547399,212.097116,7.817841,1.466583,'Hetero Unit III Hyderabad IN',True,20.376647,202.581845,Adult
'Direct Drop',EXW,Air,9/3/09,Uni-Gold,300mg,'Test kit',19.019019,1.079036,3.602156,23.780506,6.704379,'Trinity Biotech Plc',True,0.272933,5.451168,'HIV test'
'Direct Drop',DDP,Truck,10/9/14,Generic,200/300mg,'Tablet - FDC',29.029029,0.014516,0.039378,17.419221,3.268385,'Aurobindo Unit III India',False,1.519792,0.031135,Adult
'Direct Drop',DDP,Truck,'N/A - From RDC',Stocrin/Sustiva,200mg,Capsule,89.089089,0.12742,0.432124,23.891977,1.508485,'MSD Midrand J burg SA',False,1.519792,0.534479,Pediatric
'Direct Drop',FCA,Air,8/20/14,Kaletra,80/20mg/ml,'Oral solution',299.299299,3.653238,11.733574,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',True,2.655846,9.313168,Pediatric
'Direct Drop',EXW,Air,10/21/08,Generic,150mg,Tablet,59.059059,9.927451,2.482262,1.783538,0.167609,'Aurobindo Unit III India',True,1.2177,3.756921,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200/50mg,Tablet,119.119119,0.816132,2.109096,18.400166,0.87995,'Aurobindo Unit III India',False,1.526791,2.014675,Adult
'Direct Drop',CIP,Air,8/2/10,Videx,50mg,'Chewable/dispersible tablet',59.059059,9.675838,9.576628,7.059838,0.670438,'BMS Meymac France',True,1.490633,15.942266,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,0.119355,0.104083,6.138343,0.586633,'Aurobindo Unit III India',False,0.064151,0.112863,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,5.524211,11.638749,15.026307,0.71234,'ABBVIE Ludwigshafen Germany',True,0.814133,9.237926,Adult
