'pq #','fulfill via','vendor inco term','po sent to vendor date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','pack price','unit price','manufacturing site','sub classification'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-4487,'Direct Drop',EXW,11/13/09,'HIV 1 Uni-Gold Recombigen HIV Control Vial 2 x 0.5 ml',Uni-Gold,300mg,'Test kit - Ancillary',1.001001,23.037365,64.94867,'Trinity Biotech Plc','HIV test - Ancillary'
FPQ-15569,'Direct Drop',EXW,2/20/15,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,2/28/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-8264,'Direct Drop',EXW,9/14/11,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,8/26/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-6501,'Direct Drop',EXW,10/27/10,'HIV 1/2 Stat-Pak Buffer Only',Stat-Pak,300mg,'Test kit - Ancillary',0,1.857852,10.475592,'Chembio Diagnostics Sys. Inc.','HIV test - Ancillary'
FPQ-7320,'Direct Drop',EXW,5/2/11,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,8.91769,0.502828,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,10/2/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,10/2/08,'HIV 1 Uni-Gold Recombigen HIV Control Vial 2 x 0.5 ml',Uni-Gold,300mg,'Test kit - Ancillary',1.001001,22.294224,62.853551,'Trinity Biotech Plc','HIV test - Ancillary'
FPQ-14470,'Direct Drop',EXW,6/30/14,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-13774,'Direct Drop',EXW,2/28/14,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-12154,'Direct Drop',EXW,5/9/13,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,3.715704,0.209512,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-15569,'Direct Drop',EXW,2/20/15,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-6991,'Direct Drop',EXW,3/2/11,'HIV 1/2 Bioline 3.0 Diluent 25 Tests',Bioline,300mg,'Test kit - Ancillary',0,0.668827,3.771213,'Standard Diagnostics Korea','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,8/21/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-4167,'Direct Drop',EXW,9/30/09,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary',2.002002,18.57852,34.904672,'Orasure Technologies Inc USA','HIV test - Ancillary'
FPQ-6252,'Direct Drop',EXW,9/16/10,'HIV 1/2 Stat-Pak Buffer Only',Stat-Pak,300mg,'Test kit - Ancillary',0,1.857852,10.475592,'Chembio Diagnostics Sys. Inc.','HIV test - Ancillary'
FPQ-15569,'Direct Drop',EXW,2/20/15,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-10606,'Direct Drop',EXW,10/10/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,8/21/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,3/17/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-7858,'Direct Drop',EXW,8/3/11,'HIV 1/2 Bioline 3.0 Diluent 25 Tests',Bioline,300mg,'Test kit - Ancillary',0,0.668827,3.771213,'Standard Diagnostics Korea','HIV test - Ancillary'
FPQ-11043,'Direct Drop',EXW,12/6/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-12623,'Direct Drop',EXW,8/5/13,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-11539,'Direct Drop',EXW,2/26/13,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-11623,'Direct Drop',EXW,2/27/13,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,12/10/07,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-15006,'Direct Drop',CIP,11/18/14,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary',0,18.57852,104.755919,'Orasure Technologies Inc USA','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-15569,'Direct Drop',EXW,2/20/15,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-7858,'Direct Drop',EXW,8/3/11,'HIV 1/2 Bioline 3.0 Diluent 25 Tests',Bioline,300mg,'Test kit - Ancillary',0,0.668827,3.771213,'Standard Diagnostics Korea','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,10/2/08,'HIV OraQuick Controls Kit 3 Vials',OraQuick,300mg,'Test kit - Ancillary',2.002002,11.332897,21.286403,'Orasure Technologies Inc USA','HIV test - Ancillary'
FPQ-10537,'Direct Drop',EXW,9/12/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,4.830415,27.236539,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-4487,'Direct Drop',EXW,11/13/09,'HIV 1 Uni-Gold Recombigen HIV Control Vial 2 x 0.5 ml',Uni-Gold,300mg,'Test kit - Ancillary',1.001001,23.037365,64.94867,'Trinity Biotech Plc','HIV test - Ancillary'
FPQ-13669,'Direct Drop',EXW,2/12/14,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-9807,'Direct Drop',EXW,6/20/12,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,4/28/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-9807,'Direct Drop',EXW,6/20/12,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-8264,'Direct Drop',EXW,9/14/11,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-9038,'Direct Drop',EXW,2/15/12,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-10504,'Direct Drop',EXW,8/21/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,3.715704,0.209512,'Inverness Japan','HIV test - Ancillary'
FPQ-10369,'Direct Drop',EXW,8/22/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-15569,'Direct Drop',EXW,2/20/15,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,4/7/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-10128,'Direct Drop',EXW,7/16/12,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-14100,'Direct Drop',EXW,5/20/14,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,6/12/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-15569,'Direct Drop',EXW,2/20/15,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,2/28/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,7/18/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-8264,'Direct Drop',EXW,9/14/11,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-12623,'Direct Drop',EXW,8/5/13,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,3.715704,20.951184,'Alere Medical Co. Ltd.','HIV test - Ancillary'
FPQ-15569,'Direct Drop',EXW,2/20/15,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,5.945126,0.335219,'Alere Medical Co. Ltd.','HIV test - Ancillary'
'Pre-PQ Process','Direct Drop',EXW,4/28/08,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.007431,0,'Inverness Japan','HIV test - Ancillary'
FPQ-12359,'Direct Drop',EXW,8/7/13,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0,0,'Alere Medical Co. Ltd.','HIV test'
FPQ-15618,'Direct Drop',EXW,3/13/15,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,59.451265,3.352189,'Alere Medical Co. Ltd.','HIV test'
