'pq #','fulfill via','vendor inco term','po sent to vendor date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','pack price','unit price','manufacturing site','sub classification'
FPQ-10266,'Direct Drop',EXW,7/12/12,Lamivudine,Generic,150mg,Tablet,59.059059,1.560596,0.167609,'Hetero Unit III Hyderabad IN',Adult
FPQ-5303,'Direct Drop',DDP,3/19/10,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,2.340894,0.041902,'Aurobindo Unit III India',Pediatric
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC','HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,23.780506,6.704379,'Trinity Biotech Plc','HIV test'
FPQ-5201,'From RDC','N/A - From RDC','N/A - From RDC',Stavudine,Generic,30mg,Capsule,59.059059,1.047829,0.083805,'Strides Bangalore India.',Adult
'Pre-PQ Process','Direct Drop',EXW,5/18/09,'HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit',24.024024,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.','HIV test'
FPQ-11443,'Direct Drop',EXW,3/22/13,Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,1.062691,0.041902,'Aurobindo Unit III India',Pediatric
FPQ-15406,'From RDC','N/A - From RDC','N/A - From RDC','Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,3.433311,0.628536,'Cipla Kurkumbh India',Adult
'Pre-PQ Process','From RDC','N/A - From RDC','N/A - From RDC',Efavirenz,Generic,600mg,Tablet,29.029029,5.945126,1.131364,'Aurobindo Unit III India',Adult
FPQ-13221,'From RDC','N/A - From RDC','N/A - From RDC',Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,15.219524,0.71234,'Mylan (formerly Matrix) Nashik',Adult
FPQ-14942,'Direct Drop',DDP,7/14/15,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,12.737433,0.251414,'ABBVIE (Abbott) Logis. UK',Pediatric
