country,'vendor inco term','shipment mode','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','weight (kilograms)','freight cost (usd)','line item insurance (usd)','sub classification'
Kenya,'N/A - From RDC',Truck,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,8.062929,0.008401,0.007431,0,'Inverness Japan',1.519792,23.33324,0.012973,'HIV test - Ancillary'
Botswana,EXW,Air,'HIV 1 Uni-Gold Recombigen HIV Control Vial 2 x 0.5 ml',Uni-Gold,300mg,'Test kit - Ancillary',1.001001,0.022581,0.078125,23.037365,64.94867,'Trinity Biotech Plc',0.001166,2.067927,0.129728,'HIV test - Ancillary'
'South Sudan',EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0,0.022581,0.012601,3.715704,20.951184,'Alere Medical Co. Ltd.',1.519792,23.33324,0.011676,'HIV test - Ancillary'
Guyana,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.341937,0.000358,0.007431,0,'Inverness Japan',0.016329,1.24028,0,'HIV test - Ancillary'
Sudan,EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0,0.001344,5.945126,0.335219,'Alere Medical Co. Ltd.',0.002333,3.383193,0.001297,'HIV test - Ancillary'
'Cote d Ivoire','N/A - From RDC',Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,0.401614,0.00042,0.007431,0,'Inverness Japan',0.071149,4.228067,0,'HIV test - Ancillary'
Mozambique,EXW,Air,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,12.401653,0.01292,0.007431,0,'Inverness Japan',2.657012,81.968097,0.019459,'HIV test - Ancillary'
Kenya,'N/A - From RDC',Truck,'HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary',99.099099,3.224204,0.00336,0.007431,0,'Inverness Japan',0.571526,1.398987,0.003892,'HIV test - Ancillary'
Guyana,EXW,Air,'HIV 1/2 Stat-Pak Buffer Only',Stat-Pak,300mg,'Test kit - Ancillary',0,0.062903,0.016801,1.857852,10.475592,'Chembio Diagnostics Sys. Inc.',0.002333,0.969645,0.020756,'HIV test - Ancillary'
Sudan,EXW,Air,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary',99.099099,0.051613,0.066532,8.91769,0.502828,'Inverness Japan',0.003499,4.173312,0.084323,'HIV test - Ancillary'
