country,'vendor inco term','shipment mode','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','weight (kilograms)','freight cost (usd)','line item insurance (usd)','sub classification'
Rwanda,CIP,Air,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,12.643589,11.986578,6.762581,0.628536,'Cipla Goa India',0.838627,2.945357,18.139857,Adult
'South Africa',DDP,Truck,Lamivudine,Epivir,150mg,Tablet,59.059059,5.674212,6.425141,8.077941,0.754243,'GSK Cape Town Factory (South Africa)',1.519792,23.33324,6.137429,Adult
Nigeria,'N/A - From RDC','Air Charter',Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,333.633334,389.935216,8.33804,0.796145,'Aurobindo Unit III India',34.236733,46.253053,496.789234,Adult
Cameroon,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.191936,1.612906,59.451265,3.352189,'Alere Medical Co. Ltd.',0.064151,2.920535,1.280415,'HIV test'
Mozambique,'N/A - From RDC',Truck,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,25.246856,25.669235,7.253054,1.382778,'Hetero Unit III Hyderabad IN',130.665979,274.514129,20.375069,Adult
Tanzania,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.133871,0.451614,23.780506,6.704379,'Trinity Biotech Plc',0.038491,3.240539,0.358049,'HIV test'
'Cote d Ivoire','N/A - From RDC',Truck,Abacavir/Lamivudine,Generic,60/30mg,'Tablet - FDC',59.059059,16.127471,6.871651,3.039446,0.293317,'Mylan (formerly Matrix) Nashik',0.425728,8.408595,5.45506,Pediatric
Namibia,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,1.172584,3.913985,23.780506,6.704379,'Trinity Biotech Plc',0.285763,23.811157,4.986742,'HIV test'
Nigeria,'N/A - From RDC','Air Charter','Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,0.966132,1.184478,8.731905,1.634192,'Mylan (formerly Matrix) Nashik',0.975093,32.248096,1.79284,Adult
'Cote d Ivoire','N/A - From RDC',Truck,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,10.964551,4.283651,2.786778,0.251414,'Strides Bangalore India.',0.340583,5.772263,4.091619,Pediatric
Mozambique,'N/A - From RDC',Truck,Abacavir,Generic,300mg,Tablet,59.059059,5.459695,6.388582,8.345471,0.796145,'Mylan (formerly Matrix) Nashik',18.59442,16.458725,5.071065,Adult
Zambia,'N/A - From RDC',Truck,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,61.255036,24.821665,2.890818,0.251414,'Strides Bangalore India.',1.898866,12.173003,23.70778,Pediatric
