country,'vendor inco term','shipment mode','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','weight (kilograms)','freight cost (usd)','line item insurance (usd)','sub classification'
Vietnam,EXW,Air,Lamivudine,Generic,150mg,Tablet,59.059059,60.266323,13.18359,1.560596,0.167609,'Hetero Unit III Hyderabad IN',2.521712,11.476167,14.27137,Adult
'South Africa',DDP,Air,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,16.127471,5.292347,2.340894,0.041902,'Aurobindo Unit III India',4.512722,14.112361,8.809824,Pediatric
Botswana,'N/A - From RDC',Truck,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,1.611296,5.376353,23.780506,6.704379,'Trinity Biotech Plc',1.97468,4.211875,6.64207,'HIV test'
'Cote d Ivoire','N/A - From RDC',Air,Stavudine,Generic,30mg,Capsule,59.059059,3.224204,0.473791,1.047829,0.083805,'Strides Bangalore India.',0.114305,7.596656,0.788746,Adult
Namibia,EXW,Air,'HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit',24.024024,0.106452,0.844255,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.',0.055986,1.385177,1.27782,'HIV test'
Haiti,EXW,Ocean,Lamivudine,Generic,10mg/ml,'Oral solution',239.239239,3.114526,0.464174,1.062691,0.041902,'Aurobindo Unit III India',4.086993,24.569583,0.44367,Pediatric
Burundi,'N/A - From RDC',Air,'Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,1.46936,0.707904,3.433311,0.628536,'Cipla Kurkumbh India',2.034166,35.776462,0.643451,Adult
Zambia,'N/A - From RDC',Truck,Efavirenz,Generic,600mg,Tablet,29.029029,193.547399,161.290583,5.945126,1.131364,'Aurobindo Unit III India',23.495546,28.589228,244.096082,Adult
Zambia,'N/A - From RDC',Truck,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,5.803245,12.383676,15.219524,0.71234,'Mylan (formerly Matrix) Nashik',8.327949,164.097835,9.829486,Adult
'South Africa',DDP,Truck,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,0.004839,0.011519,12.737433,0.251414,'ABBVIE (Abbott) Logis. UK',1.519792,23.33324,0.009081,Pediatric
Mozambique,CIP,Air,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,0.12742,0.55242,30.543087,1.42468,ABBSP,0.029159,23.33324,31.149964,Adult
Nigeria,'N/A - From RDC','Air Charter','Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,193.547399,212.097116,7.817841,1.466583,'Hetero Unit III Hyderabad IN',20.376647,71.345228,202.581845,Adult
Tanzania,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,1.079036,3.602156,23.780506,6.704379,'Trinity Biotech Plc',0.272933,10.920398,5.451168,'HIV test'
'South Africa',DDP,Truck,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC',29.029029,0.014516,0.039378,17.419221,3.268385,'Aurobindo Unit III India',1.519792,23.33324,0.031135,Adult
'South Africa',DDP,Truck,Efavirenz,Stocrin/Sustiva,200mg,Capsule,89.089089,0.12742,0.432124,23.891977,1.508485,'MSD Midrand J burg SA',1.519792,23.33324,0.534479,Pediatric
Zambia,FCA,Air,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution',299.299299,3.653238,11.733574,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',2.655846,47.965519,9.313168,Pediatric
Vietnam,EXW,Air,Lamivudine,Generic,150mg,Tablet,59.059059,9.927451,2.482262,1.783538,0.167609,'Aurobindo Unit III India',1.2177,13.303806,3.756921,Adult
'South Sudan','N/A - From RDC',Air,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,0.816132,2.109096,18.400166,0.87995,'Aurobindo Unit III India',1.526791,42.655431,2.014675,Adult
'Cote d Ivoire',CIP,Air,Didanosine,Videx,50mg,'Chewable/dispersible tablet',59.059059,9.675838,9.576628,7.059838,0.670438,'BMS Meymac France',1.490633,6.011929,15.942266,Pediatric
'Congo DRC','N/A - From RDC',Air,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,0.119355,0.104083,6.138343,0.586633,'Aurobindo Unit III India',0.064151,3.147255,0.112863,Adult
Uganda,'N/A - From RDC',Truck,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,5.524211,11.638749,15.026307,0.71234,'ABBVIE Ludwigshafen Germany',0.814133,9.236069,9.237926,Adult
'South Africa',DDP,Truck,Abacavir,Generic,300mg,Tablet,59.059059,0.048387,0.259646,37.045569,3.477897,'Aurobindo Unit III India',1.519792,23.33324,0.206267,Adult
'South Africa',DDP,Ocean,Lamivudine,Generic,150mg,Tablet,59.059059,120.966519,31.376059,1.850421,0.167609,'Strides Bangalore India.',4.379754,15.581812,52.232358,Adult
Zimbabwe,'N/A - From RDC',Truck,Abacavir,Generic,20mg/ml,'Oral solution',239.239239,0.387098,0.344575,6.324128,0.167609,'Aurobindo Unit III India',0.074648,25.200029,0.329509,Pediatric
'Cote d Ivoire',EXW,Air,'HIV Genie II HIV-1/HIV-2 Kit',Genie,300mg,'Test kit',39.039039,0.766132,8.797057,81.745489,11.523151,'Bio-Rad Laboratories',0.622847,32.697013,13.313978,'HIV test'
Tanzania,'N/A - From RDC',Truck,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,'Chewable/dispersible tablet - FDC',59.059059,264.087949,116.914461,3.158348,0.293317,'Mylan (formerly Matrix) Nashik',10.740021,13.205654,148.952317,Pediatric
'Cote d Ivoire','N/A - From RDC',Air,'HIV 2 New LAV Blot 2 HIV Kit',LAV,300mg,'Test kit',17.017017,0.012903,0.465984,229.013704,71.736853,'Bio-Rad Laboratories',0.015163,3.960781,0.575992,'HIV test'
'South Africa',DDP,Truck,Lopinavir/Ritonavir,Kaletra,133.3/33.3mg,Capsule,179.179179,0.64355,2.647854,29.279748,0.921852,'ABBVIE (Abbott) Logis. UK',1.519792,23.33324,3.271739,Adult
Haiti,'N/A - From RDC',Air,Stavudine,Generic,30mg,Capsule,59.059059,23.301688,3.422667,1.047829,0.083805,'Strides Bangalore India.',7.271209,107.761975,5.697651,Adult
Zambia,'N/A - From RDC',Truck,'Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,29.751709,14.318763,3.433311,0.628536,'Hetero Unit III Hyderabad IN',2.223119,7.598727,11.365464,Adult
'Congo DRC',EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.074194,0.252689,23.780506,6.704379,'Trinity Biotech Plc',0.593687,27.689598,0.201078,'HIV test'
'Congo DRC',EXW,Air,Sulfadoxine/Pyrimethamine,Generic,500/25mg,'Tablet - FDC',1000.0,2.208072,6.28378,20.287744,0.125707,'Guilin OSD site No 17 China',1.312177,33.464001,4.988039,Malaria
Swaziland,EXW,Air,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary',0.0,0.353227,0.240256,4.830415,27.236539,'Alere Medical Co. Ltd.',1.519792,23.33324,0.259456,'HIV test - Ancillary'
Sudan,EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.211291,0.709679,23.780506,6.704379,'Trinity Biotech Plc',0.058319,5.505322,0.904204,'HIV test'
Zambia,'N/A - From RDC',Truck,Nevirapine,Generic,200mg,Tablet,59.059059,156.127923,37.568609,1.716655,0.167609,'Cipla Goa India',13.772607,60.933025,35.882747,Adult
Nigeria,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,10.280678,95.325255,66.139532,3.729311,'Alere Medical Co. Ltd.',4.390252,131.29069,75.665115,'HIV test'
Vietnam,EXW,Air,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,'Tablet - FDC',59.059059,32.256556,27.217786,6.019441,0.544731,'Mylan (formerly Matrix) Nashik',4.861469,23.189999,21.60489,Adult
'Congo DRC','N/A - From RDC',Air,Abacavir,Generic,300mg,Tablet,59.059059,0.787099,0.933308,8.44208,0.796145,'Aurobindo Unit III India',2.385246,55.52368,0.740747,Adult
Kenya,EXW,Air,'HIV 1/2 Bioline 3.0 Kit Lancets Capillary pipets Alcohol swabs included',Bioline,300mg,'Test kit',24.024024,13.748431,28.64588,14.862816,3.352189,'Standard Diagnostics Korea',3.31485,75.348405,43.352481,'HIV test'
Haiti,EXW,Air,'HIV 1/2 Colloidal Gold Diagnostic Kit Antibody','Colloidal Gold',300mg,'Test kit',0.0,0.579034,1.391131,17.092239,96.375445,'KHB Test Kit Facility Shanghai China',0.304425,10.824076,2.315644,'HIV test'
Zimbabwe,'N/A - From RDC',Truck,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,'Tablet - FDC',59.059059,122.579428,94.4894,5.499242,0.502828,'Cipla Goa India',10.328289,103.168297,142.999102,Adult
'South Sudan',EXW,Air,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,0.027419,0.096774,23.780506,6.704379,'Trinity Biotech Plc',0.205283,14.237718,0.092107,'HIV test'
Nigeria,'N/A - From RDC',Air,Efavirenz,Generic,600mg,Tablet,29.029029,18.590383,22.697691,8.70961,1.634192,'Aurobindo Unit III India',1.146551,23.33324,34.35066,Adult
Zimbabwe,'N/A - From RDC',Air,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,119.119119,2.535492,6.543606,18.400166,0.87995,'Aurobindo Unit III India',0.452555,8.255584,6.250292,Adult
Haiti,'N/A - From RDC',Air,Efavirenz,Generic,50mg,Capsule,29.029029,1.759683,0.410968,1.664635,0.293317,'Aurobindo Unit III India',1.848711,23.513145,0.621397,Pediatric
Mali,EXW,Air,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.129033,1.088711,59.451265,3.352189,'Alere Medical Co. Ltd.',0.043156,7.560889,1.040418,'HIV test'
Namibia,EXW,Air,'HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit',24.024024,1.53065,11.970785,55.735561,12.57071,'Chembio Diagnostics Sys. Inc.',0.886448,17.994911,18.116506,'HIV test'
'Congo DRC','N/A - From RDC',Air,'Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC',29.029029,0.070968,0.045968,4.518296,0.838047,'Mylan (formerly Matrix) Nashik',0.597186,11.867498,0.049297,Adult
Zambia,EXW,Air,'HIV 1/2 Determine HIV Kit without Lancets',Determine,300mg,'Test kit',99.099099,8.869383,66.523125,53.498707,3.01697,'Inverness Japan',1.8942,43.657148,100.675364,'HIV test'
'Cote d Ivoire','N/A - From RDC',Truck,'Tenofovir Disoproxil Fumarate',Generic,300mg,Tablet,29.029029,4.282272,1.802799,3.002289,0.544731,'Mylan (formerly Matrix) Nashik',0.194785,5.101286,1.72149,Adult
Tanzania,'N/A - From RDC',Truck,'Emtricitabine/Tenofovir Disoproxil Fumarate',Truvada,300/200mg,'Tablet - FDC',29.029029,60.385679,165.121234,19.507446,3.687408,'Aspen-OSD Port Elizabeth SA',6.662359,20.273435,249.893623,Adult
Rwanda,'N/A - From RDC',Truck,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC',29.029029,98.584189,110.703461,8.011058,1.508485,'Hetero Unit III Hyderabad IN',9.658787,49.404899,105.737348,Adult
'South Africa',DDP,Ocean,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,17.100055,4.026011,1.679498,0.041902,'Aurobindo Unit III India',4.453236,38.782168,5.129443,Pediatric
