'project code','pq #',country,'pq first sent to client date','molecule/test type',brand,dosage,'dosage form','manufacturing site','sub classification'
102-KE-T01,'Pre-PQ Process',Kenya,'Pre-PQ Process','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary','Inverness Japan','HIV test - Ancillary'
144-BW-T30,FPQ-4487,Botswana,11/2/09,'HIV 1 Uni-Gold Recombigen HIV Control Vial 2 x 0.5 ml',Uni-Gold,300mg,'Test kit - Ancillary','Trinity Biotech Plc','HIV test - Ancillary'
105-SS-T30,FPQ-15569,'South Sudan',12/29/14,'Chase Buffer Determine 100 Tests 2.5ml x 1 Vial',Determine,300mg,'Test kit - Ancillary','Alere Medical Co. Ltd.','HIV test - Ancillary'
102-GY-T01,'Pre-PQ Process',Guyana,'Pre-PQ Process','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary','Inverness Japan','HIV test - Ancillary'
102-SD-T30,FPQ-8264,Sudan,9/7/11,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary','Alere Medical Co. Ltd.','HIV test - Ancillary'
104-CI-T01,'Pre-PQ Process','Cote d Ivoire','Pre-PQ Process','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary','Inverness Japan','HIV test - Ancillary'
111-MZ-T01,'Pre-PQ Process',Mozambique,'Pre-PQ Process','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary','Inverness Japan','HIV test - Ancillary'
102-KE-T01,'Pre-PQ Process',Kenya,'Pre-PQ Process','HIV Lancet Safety for HIV Test kits 100 Pcs',Generic,300mg,'Test kit - Ancillary','Inverness Japan','HIV test - Ancillary'
102-GY-T30,FPQ-6501,Guyana,10/8/10,'HIV 1/2 Stat-Pak Buffer Only',Stat-Pak,300mg,'Test kit - Ancillary','Chembio Diagnostics Sys. Inc.','HIV test - Ancillary'
102-SD-T30,FPQ-7320,Sudan,3/29/11,'HIV Capillary Tubes for Determine EDTA 50uL100 Pcs',Determine,300mg,'Test kit - Ancillary','Inverness Japan','HIV test - Ancillary'
