'project code','pq #',country,'pq first sent to client date','molecule/test type',brand,dosage,'dosage form','manufacturing site','sub classification'
108-VN-T30,FPQ-10266,Vietnam,7/11/12,Lamivudine,Generic,150mg,Tablet,'Hetero Unit III Hyderabad IN',Adult
161-ZA-T30,FPQ-5303,'South Africa',3/18/10,Nevirapine,Generic,10mg/ml,'Oral suspension','Aurobindo Unit III India',Pediatric
102-BW-T01,'Pre-PQ Process',Botswana,'Pre-PQ Process','HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
104-CI-T30,FPQ-5201,'Cote d Ivoire',3/3/10,Stavudine,Generic,30mg,Capsule,'Strides Bangalore India.',Adult
119-NA-T01,'Pre-PQ Process',Namibia,'Pre-PQ Process','HIV 1/2 Clearview Complete Kit',Clearview,300mg,'Test kit','Chembio Diagnostics Sys. Inc.','HIV test'
106-HT-T30,FPQ-11443,Haiti,2/7/13,Lamivudine,Generic,10mg/ml,'Oral solution','Aurobindo Unit III India',Pediatric
102-BI-T30,FPQ-15406,Burundi,11/19/14,'Lamivudine/Tenofovir Disoproxil Fumarate',Generic,300/300mg,'Tablet - FDC','Cipla Kurkumbh India',Adult
110-ZM-T01,'Pre-PQ Process',Zambia,'Pre-PQ Process',Efavirenz,Generic,600mg,Tablet,'Aurobindo Unit III India',Adult
110-ZM-T30,FPQ-13221,Zambia,10/31/13,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,'Mylan (formerly Matrix) Nashik',Adult
116-ZA-T30,FPQ-14942,'South Africa',9/11/14,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution','ABBVIE (Abbott) Logis. UK',Pediatric
111-MZ-T01,'Pre-PQ Process',Mozambique,'Pre-PQ Process',Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,ABBSP,Adult
151-NG-T30,FPQ-11022,Nigeria,11/15/12,'Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate',Generic,600/300/300mg,'Tablet - FDC','Hetero Unit III Hyderabad IN',Adult
109-TZ-T30,FPQ-4157,Tanzania,8/27/09,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit','Trinity Biotech Plc','HIV test'
116-ZA-T30,FPQ-14942,'South Africa',9/11/14,'Emtricitabine/Tenofovir Disoproxil Fumarate',Generic,200/300mg,'Tablet - FDC','Aurobindo Unit III India',Adult
116-ZA-T01,'Pre-PQ Process','South Africa','Pre-PQ Process',Efavirenz,Stocrin/Sustiva,200mg,Capsule,'MSD Midrand J burg SA',Pediatric
110-ZM-T30,FPQ-14790,Zambia,8/13/14,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,'Oral solution','ABBVIE (Abbott) Logis. UK',Pediatric
108-VN-T01,'Pre-PQ Process',Vietnam,'Pre-PQ Process',Lamivudine,Generic,150mg,Tablet,'Aurobindo Unit III India',Adult
103-SS-T30,FPQ-11489,'South Sudan',1/16/13,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,'Aurobindo Unit III India',Adult
104-CI-T30,FPQ-6024,'Cote d Ivoire',7/19/10,Didanosine,Videx,50mg,'Chewable/dispersible tablet','BMS Meymac France',Pediatric
