'project code','pq #',country,'managed by','fulfill via','vendor inco term','shipment mode','pq first sent to client date','po sent to vendor date','scheduled delivery date','delivered to client date','delivery recorded date','molecule/test type',brand,dosage,'dosage form','unit of measure (per pack)','line item quantity','line item value','pack price','unit price','manufacturing site','first line designation','weight (kilograms)','freight cost (usd)','line item insurance (usd)','sub classification'
100-CI-T01,'Pre-PQ Process','Cote d Ivoire','PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',2-Jun-06,2-Jun-06,2-Jun-06,'HIV Reveal G3 Rapid HIV-1 Antibody Test',Reveal,300mg,'Test kit',29.029029,0.029032,0.092574,21.551083,4.06453,'Ranbaxy Fine Chemicals LTD',True,0.015163,2.691467,31.149964,'HIV test'
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',14-Nov-06,14-Nov-06,14-Nov-06,Nevirapine,Generic,10mg/ml,'Oral suspension',239.239239,1.611296,1.041668,4.607473,0.125707,'Aurobindo Unit III India',True,0.417564,15.607498,31.149964,Pediatric
100-CI-T01,'Pre-PQ Process','Cote d Ivoire','PMO - US','Direct Drop',FCA,Air,'Pre-PQ Process','N/A - From RDC',27-Aug-06,27-Aug-06,27-Aug-06,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,0.804841,6.720441,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden',True,0.199451,5.706943,31.149964,'HIV test'
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',1-Sep-06,1-Sep-06,1-Sep-06,Lamivudine,Generic,150mg,Tablet,59.059059,51.482424,21.398018,2.965132,0.293317,'Ranbaxy Paonta Shahib India',True,2.163634,55.260399,31.149964,Adult
108-VN-T01,'Pre-PQ Process',Vietnam,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',11-Aug-06,11-Aug-06,11-Aug-06,Stavudine,Generic,30mg,Capsule,59.059059,61.288907,20.43014,2.378051,0.209512,'Aurobindo Unit III India',True,8.852819,156.909876,31.149964,Adult
112-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',28-Sep-06,28-Sep-06,28-Sep-06,Zidovudine,Generic,10mg/ml,'Oral solution',239.239239,0.669357,0.373925,3.975803,0.083805,'Aurobindo Unit III India',True,0.587855,20.437148,31.149964,Pediatric
110-ZM-T01,'Pre-PQ Process',Zambia,'PMO - US','Direct Drop',DDU,Air,'Pre-PQ Process','N/A - From RDC',8-Jan-07,8-Jan-07,8-Jan-07,Efavirenz,Stocrin/Sustiva,200mg,Capsule,89.089089,0.21613,0.73488,24.077762,1.508485,'MSD South Granville Australia',True,0.382572,23.33324,31.149964,Pediatric
109-TZ-T01,'Pre-PQ Process',Tanzania,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',24-Nov-06,24-Nov-06,24-Nov-06,Nevirapine,Generic,200mg,Tablet,59.059059,26.880732,10.220875,2.712464,0.251414,'Aurobindo Unit III India',True,1.723909,21.445218,31.149964,Adult
112-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',7-Dec-06,7-Dec-06,7-Dec-06,Stavudine,Generic,30mg,Capsule,59.059059,0.438711,0.089441,1.449125,0.125707,'Aurobindo Unit III India',False,0.558696,16.780076,31.149964,Adult
110-ZM-T01,'Pre-PQ Process',Zambia,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',11/13/06,30-Jan-07,30-Jan-07,30-Jan-07,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,4.514531,19.334709,30.543087,1.42468,'ABBVIE (Abbott) St. P burg USA',True,0.749982,23.33324,31.149964,Adult
110-ZM-T01,'Pre-PQ Process',Zambia,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',12/1/06,16-Feb-07,16-Feb-07,16-Feb-07,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,119.119119,4.514531,19.334709,30.543087,1.42468,'ABBVIE Ludwigshafen Germany',True,0.749982,23.33324,31.149964,Adult
110-ZM-T01,'Pre-PQ Process',Zambia,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',8-Jan-07,8-Jan-07,8-Jan-07,'HIV 1/2 Uni-Gold HIV Kit',Uni-Gold,300mg,'Test kit',19.019019,4.030658,16.801102,29.725632,8.380473,'Trinity Biotech Plc',True,0.994922,46.8449,31.149964,'HIV test'
102-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',10-Jan-07,10-Jan-07,10-Jan-07,'HIV 1/2 InstantChek HIV 1+2 Kit',InstantCHEK,300mg,'Test kit',99.099099,0.014516,0.142809,63.166969,3.561701,'EY Laboratories USA',True,1.519792,23.33324,31.149964,'HIV test'
107-RW-T01,'Pre-PQ Process',Rwanda,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process',12/22/06,27-Feb-07,27-Feb-07,27-Feb-07,Lamivudine/Zidovudine,Generic,150/300mg,'Tablet - FDC',59.059059,16.127471,16.7675,7.416545,0.71234,'Cipla Goa India',True,8.649869,221.5713,31.149964,Adult
106-HT-T01,'Pre-PQ Process',Haiti,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',18-Jan-07,18-Jan-07,18-Jan-07,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,1.208068,10.080661,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden',True,0.298593,6.074763,31.149964,'HIV test'
113-ZW-T01,'Pre-PQ Process',Zimbabwe,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process',1/10/07,19-Mar-07,19-Mar-07,19-Mar-07,Didanosine,Videx,200mg,Tablet,59.059059,0.932261,2.480599,18.950091,1.759899,'BMS Meymac France',True,1.519792,23.33324,31.149964,Pediatric
102-NG-T01,'Pre-PQ Process',Nigeria,'PMO - US','Direct Drop',CIP,Air,'Pre-PQ Process','N/A - From RDC',7-May-07,7-May-07,7-May-07,'HIV 1/2 Determine Complete HIV Kit',Determine,300mg,'Test kit',99.099099,2.41775,20.161323,59.451265,3.352189,'ABBVIE GmbH & Co.KG Wiesbaden',True,1.519792,23.33324,24.907763,'HIV test'
107-RW-T01,'Pre-PQ Process',Rwanda,'PMO - US','Direct Drop',EXW,Air,'Pre-PQ Process','N/A - From RDC',29-Mar-07,29-Mar-07,29-Mar-07,'HIV 1/2/O First Response HIV 1-2.0 v.3.0 Cards Kit','First Response',300mg,'Test kit',29.029029,3.224204,5.544364,12.261823,2.30463,'Premier Med. Corp Ltd. India',True,0.828129,10.771357,31.149964,'HIV test'
